multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa
33,6NCE831,invalid_date,invalid_hour,,80,ruta 9,R03,APELADA
34,FVIO UHP,01/05/2021,09:03 AM,,80,Av. Libertador,,ERROR
35,GE 1466,2020-11-22,08:02,67.0,40,AV LIBERTADOR,R03,ERROR
36,J1S1,invalid_date,18:01,85.0,40,AV LIBERTADOR,,APELADA
37,BM -351,invalid_date,09:03 AM,,60,Ruta 9,,IMPAGA
38,OUTSTDN,2022-11-22,14:02,,40,Av Siempre Viva,R03,ERROR
39,DK 414 N,invalid_date,09:03 AM,,80,Av Siempre Viva,R03,IMPAGA
40,VTII AHV,2023-04-30,09:03 AM,71.0,60,Av. Libertador,R03,APELADA
41,66 111 72,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA
42,X IIUME,invalid_date,14:02,83.0,80,Av Siempre Viva,,IMPAGA
43,T0Y DR,15/10/2023,18:02,,60,Av Siempre Viva,,APELADA
44,GCP332,26/01/2024,14:02,106.0,40,AV LIBERTADOR,,IMPAGA
45,CT5 B876,2023-04-11,14:02,,40,Av Siempre Viva,R01,ERROR
46,41 RS TZ,2022-08-30,14:02,58.0,60,Ruta 9,,APELADA
47,W326 AVE,28/05/2020,invalid_hour,70.0,60,Ruta 9,R01,IMPAGA
48,GE 1466,invalid_date,invalid_hour,,60,ruta 9,R01,APELADA
49,810 TCH,03/03/2022,09:04 AM,156.0,80,av libertador,R02,ERROR
50,GCP332,2023/12/08,08:02,66.0,40,Av Siempre Viva,R02,APELADA
51,BB 8986,18/04/2023,08:03,90.0,80,Ruta 9,R02,IMPAGA
52,M43 1ZW,2021/07/04,18:02,77.0,80,ruta 9,R02,ERROR
53,HF 58 HXP,invalid_date,09:04 AM,50.0,40,Av. Siempre Viva,R02,PAGADA
54,BM -351,24/11/2023,08:03,,40,Ruta 9,R01,ERROR
55,99 998 68,2020/02/09,invalid_hour,57.0,40,Av. Siempre Viva,R01,ERROR
56,VTII AHV,invalid_date,08:03,54.0,40,AV LIBERTADOR,R01,ERROR
57,NTHG LFT,2022/05/26,09:04 AM,93.0,80,Av. Siempre Viva,R02,PAGADA
58,M20 CPR,invalid_date,08:03,,40,ruta 9,R02,IMPAGA
59,FD 1475,2022/01/07,14:03,59.0,40,Ruta 9,R02,PAGADA
60,FVIO UHP,invalid_date,18:02,124.0,80,ruta 9,R01,APELADA
61,VY 90 540,08/11/2022,invalid_hour,99.0,80,Ruta 9,R01,ERROR
62,BHRP 770,05/10/2020,09:04 AM,74.0,80,av libertador,R03,ERROR
63,6NCE831,14/12/2022,08:03,81.0,60,Av. Libertador,R02,ERROR
64,M43 1ZW,invalid_date,09:04 AM,86.0,80,ruta 9,R01,APELADA
65,DI2 LOT,16/01/2021,invalid_hour,,40,av libertador,R01,IMPAGA
66,NTHG LFT,invalid_date,08:04,152.0,80,ruta 9,R03,IMPAGA
67,57 777 70,2021-03-16,18:02,,80,AV LIBERTADOR,,APELADA
68,HK 06 YMX,11/11/2020,14:03,76.0,40,Av. Siempre Viva,,PAGADA
69,VNK296 GP,2021/05/25,18:02,77.0,40,ruta 9,R03,IMPAGA
70,VNK296 GP,2023-06-07,14:03,,60,Av Siempre Viva,,ERROR
71,RFH 373,14/07/2021,09:05 AM,116.0,80,av libertador,R01,PAGADA
72,HK 06 YMX,2021/05/30,14:03,104.0,60,Av. Siempre Viva,R02,PAGADA
73,29 999 61,invalid_date,09:05 AM,,80,av libertador,R01,ERROR
74,TL03 GOG,invalid_date,18:03,71.0,80,AV LIBERTADOR,,APELADA
75,W326 AVE,2021-04-21,invalid_hour,57.0,40,Av. Libertador,R01,PAGADA
76,OUTSTDN,2020/04/27,08:04,,60,Av. Siempre Viva,R03,IMPAGA
77,B 81 JKY,invalid_date,invalid_hour,83.0,40,ruta 9,R01,PAGADA
78,BX 55 DOG,07/12/2021,18:03,,60,AV LIBERTADOR,R02,ERROR
79,M VU 4688,invalid_date,08:04,96.0,60,Av. Siempre Viva,R02,ERROR
80,81-ZF-JD,2023/05/17,invalid_hour,,40,ruta 9,R01,APELADA
81,8B90638,2022/04/10,18:03,108.0,60,Av Siempre Viva,R03,IMPAGA
82,57 777 70,2020-02-13,09:05 AM,60.0,40,Av. Siempre Viva,R01,PAGADA
83,6NCE831,invalid_date,invalid_hour,,60,ruta 9,R02,PAGADA
84,BM -351,invalid_date,18:03,,60,Ruta 9,R02,APELADA
85,FVIO UHP,02/10/2023,14:03,,40,Av Siempre Viva,R02,APELADA
86,HAMSTUR,28/11/2022,14:04,,80,av libertador,R02,PAGADA
87,J1S1,2023/06/17,08:04,,40,AV LIBERTADOR,,PAGADA
88,,invalid_date,18:03,148.0,80,AV LIBERTADOR,R01,PAGADA
89,UM 96 201,invalid_date,09:05 AM,72.0,80,AV LIBERTADOR,R02,IMPAGA
90,M VU 4688,2023/09/21,18:04,49.0,40,ruta 9,,PAGADA
91,INTIGR8,2023-07-09,invalid_hour,148.0,80,av libertador,R01,PAGADA
92,CD 056 01,15/08/2023,14:04,103.0,40,AV LIBERTADOR,R02,ERROR
93,3646 HBH,2022/04/23,08:04,73.0,60,Av. Libertador,R01,IMPAGA
94,M20 CPR,2020/09/21,invalid_hour,35.0,40,Av. Libertador,R02,APELADA
95,BM -351,invalid_date,invalid_hour,,60,Ruta 9,R01,APELADA
96,81-ZF-JD,2020-11-13,09:05 AM,,80,av libertador,,PAGADA
97,990 XYK,2022/01/24,08:05,,40,Av. Siempre Viva,,ERROR
98,GOOGLE,30/11/2023,18:04,,40,Av. Libertador,R02,IMPAGA
99,810 TCH,invalid_date,invalid_hour,,80,Av. Siempre Viva,R02,ERROR
100,M VU 4688,01/07/2022,18:04,,80,ruta 9,,APELADA
101,RFH 373,05/12/2022,14:04,101.0,40,Av. Libertador,R01,PAGADA
102,B 81 JKY,2023/10/10,18:04,147.0,80,AV LIBERTADOR,R02,ERROR
103,57 777 70,2020-05-19,09:06 AM,91.0,60,AV LIBERTADOR,R03,ERROR
104,CD 056 01,invalid_date,18:04,114.0,60,av libertador,,APELADA
105,MX60 NZA,invalid_date,invalid_hour,,60,AV LIBERTADOR,R01,IMPAGA
106,WE FLYN,invalid_date,09:06 AM,77.0,40,Ruta 9,,IMPAGA
107,T0Y DR,invalid_date,invalid_hour,,80,Ruta 9,R02,ERROR
108,GN64 OTP,invalid_date,08:05,,60,ruta 9,R02,APELADA
109,DI2 LOT,2021-08-12,invalid_hour,77.0,60,Av Siempre Viva,R03,PAGADA
110,BP717,2020/03/26,09:06 AM,74.0,80,Av. Siempre Viva,R01,IMPAGA
111,UM 96 201,2021/04/11,18:05,,80,av libertador,,APELADA
112,66 111 72,2020/04/08,18:05,,40,AV LIBERTADOR,R02,APELADA
113,66 111 72,2022-12-30,08:05,63.0,60,ruta 9,,PAGADA
114,BX 55 DOG,invalid_date,18:05,121.0,60,Ruta 9,,ERROR
115,3646 HBH,invalid_date,09:06 AM,,60,Av Siempre Viva,,IMPAGA
116,8B90638,23/05/2023,09:06 AM,,40,ruta 9,,PAGADA
117,B 81 JKY,invalid_date,14:04,,80,Av. Libertador,R03,APELADA
118,8B90638,invalid_date,invalid_hour,82.0,80,ruta 9,R01,APELADA
119,41 RS TZ,2022/01/30,09:07 AM,,60,Av. Siempre Viva,R01,IMPAGA
120,GE 1466,24/05/2020,invalid_hour,,60,ruta 9,R03,IMPAGA
121,M20 CPR,2023/06/30,08:05,,60,ruta 9,R01,ERROR
122,OUTSTDN,2022-08-31,09:07 AM,,60,Av. Libertador,,APELADA
123,DK 414 N,invalid_date,08:05,,40,AV LIBERTADOR,R03,PAGADA
124,AI7 OVF,2022/02/20,18:05,,80,ruta 9,R03,APELADA
125,GN64 OTP,2021/07/24,invalid_hour,31.0,40,av libertador,R02,ERROR
126,AWS 167,06/03/2023,08:06,57.0,60,Av. Siempre Viva,R02,APELADA
127,8B90638,invalid_date,14:04,116.0,40,Av Siempre Viva,R01,ERROR
128,AWS 167,invalid_date,09:07 AM,,40,Ruta 9,,ERROR
129,T0Y DR,2022/09/24,invalid_hour,123.0,80,Av. Siempre Viva,R02,PAGADA
130,MX60 NZA,08/11/2021,18:05,,40,Ruta 9,R01,ERROR
131,409,invalid_date,09:07 AM,106.0,80,Av. Siempre Viva,R01,PAGADA
132,57 777 70,16/08/2022,invalid_hour,32.0,40,AV LIBERTADOR,R01,IMPAGA
133,,2020-09-02,09:07 AM,70.0,80,Ruta 9,R03,ERROR
134,UW3932,invalid_date,18:06,101.0,80,ruta 9,R01,APELADA
135,HK 06 YMX,2022-10-25,08:06,,40,Av Siempre Viva,R01,IMPAGA
136,29 999 61,2023/01/03,08:06,40.0,40,Av. Siempre Viva,R01,PAGADA
137,BHRP 770,2021-12-01,18:06,,60,AV LIBERTADOR,,IMPAGA
138,831 MDB,09/05/2021,18:06,153.0,80,Av Siempre Viva,R03,ERROR
139,409,2021/08/21,18:06,,60,AV LIBERTADOR,R01,ERROR
140,M VU 4688,invalid_date,09:08 AM,110.0,60,Av. Libertador,R03,PAGADA
141,INTIGR8,13/04/2022,invalid_hour,108.0,60,av libertador,R03,IMPAGA
142,RFH 373,2020-10-15,08:06,,40,AV LIBERTADOR,R03,APELADA
143,6NCE831,invalid_date,14:05,,40,ruta 9,R03,PAGADA
144,HF 58 HXP,invalid_date,08:06,79.0,40,ruta 9,R03,ERROR
145,GOOGLE,2022-05-09,18:06,42.0,40,Av. Libertador,R02,APELADA
146,T0Y DR,2022/07/03,18:07,125.0,80,av libertador,R02,APELADA
147,WE FLYN,13/12/2021,09:08 AM,129.0,60,Av. Siempre Viva,,ERROR
148,FD 1475,2023/10/07,09:08 AM,106.0,80,av libertador,R03,ERROR
149,990 XYK,25/11/2022,14:05,109.0,80,Av. Libertador,,APELADA
150,INTIGR8,2020/01/04,08:07,100.0,60,Av Siempre Viva,R03,APELADA
151,6NCE831,2021-01-14,invalid_hour,,60,Ruta 9,,IMPAGA
152,N HZ 1002,invalid_date,08:07,51.0,60,Av Siempre Viva,,IMPAGA
153,0695 DVH,17/12/2023,08:07,,60,Av. Siempre Viva,R01,APELADA
154,8B90638,09/07/2020,invalid_hour,,80,AV LIBERTADOR,R01,ERROR
155,691 XC 80,03/01/2024,invalid_hour,116.0,80,ruta 9,R01,PAGADA
156,CD 056 01,invalid_date,invalid_hour,,40,av libertador,,PAGADA
157,6NCE831,31/05/2022,invalid_hour,,80,ruta 9,,APELADA
158,CBM UK,06/02/2023,18:07,,80,Av Siempre Viva,R01,PAGADA
159,66 111 72,11/02/2020,18:07,,40,ruta 9,R01,ERROR
160,B 81 JKY,2023-07-22,09:08 AM,,60,Av. Siempre Viva,R03,PAGADA
161,990 XYK,2020-04-26,09:08 AM,82.0,60,AV LIBERTADOR,R01,APELADA
162,NTHG LFT,2020/06/10,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA
163,GLEN1E,01/01/2020,18:07,,40,Ruta 9,R03,PAGADA
164,M VU 4688,2020/10/07,invalid_hour,97.0,80,Ruta 9,R03,PAGADA
165,GE 1466,2021/09/25,invalid_hour,108.0,40,av libertador,,APELADA
166,BM -351,2020-02-24,14:05,112.0,80,ruta 9,,ERROR
167,HF 58 HXP,2020/08/26,invalid_hour,,80,Av. Libertador,R02,ERROR
168,BP717,21/04/2020,14:05,80.0,80,ruta 9,R02,ERROR
169,CBM UK,2024/01/27,18:07,,40,Av. Libertador,R02,APELADA
170,WE FLYN,2021-01-18,18:08,88.0,80,av libertador,R02,PAGADA
171,CD 056 01,2023-08-11,invalid_hour,75.0,40,ruta 9,R03,IMPAGA
172,810 TCH,08/02/2020,14:05,110.0,40,ruta 9,R03,APELADA
173,WU 341 A,2020-02-03,invalid_hour,,60,AV LIBERTADOR,R03,PAGADA
174,BP717,2022-07-09,08:07,,80,Av. Siempre Viva,R01,IMPAGA
175,66 111 72,invalid_date,09:09 AM,,60,ruta 9,R02,PAGADA
176,B 81 JKY,invalid_date,09:09 AM,91.0,60,Av. Siempre Viva,R01,PAGADA
177,CBM UK,invalid_date,18:08,,80,Ruta 9,,IMPAGA
178,WU 341 A,2020/11/18,09:09 AM,70.0,60,ruta 9,R02,PAGADA
179,NTHG LFT,invalid_date,18:08,,40,av libertador,,PAGADA
180,589222,2021-09-12,18:08,,60,Ruta 9,R01,APELADA
181,T0Y DR,09/10/2021,09:09 AM,,60,Ruta 9,R01,ERROR
182,,22/09/2023,invalid_hour,107.0,60,AV LIBERTADOR,R01,PAGADA
183,UM 96 201,invalid_date,08:08,102.0,40,Av. Siempre Viva,R03,PAGADA
184,81-ZF-JD,invalid_date,invalid_hour,111.0,80,Ruta 9,R03,ERROR
185,N HZ 1002,2023/04/01,14:06,,40,Av. Libertador,R03,PAGADA
186,810 TCH,2023/01/27,18:08,,60,Av. Libertador,,APELADA
187,INTIGR8,23/11/2020,09:09 AM,,60,ruta 9,R03,IMPAGA
188,TL03 GOG,13/08/2021,08:08,93.0,40,ruta 9,,PAGADA
189,HK 06 YMX,2020/10/07,09:10 AM,33.0,40,Ruta 9,,ERROR
190,VNK296 GP,2020/03/03,09:10 AM,153.0,80,av libertador,R01,PAGADA
191,VY 90 540,2022/02/05,08:08,98.0,60,ruta 9,,IMPAGA
192,YLO8 WUE,2021/12/18,18:09,140.0,80,Av. Siempre Viva,,ERROR
193,3646 HBH,2021/04/03,09:10 AM,117.0,40,Av. Siempre Viva,R01,PAGADA
194,GLEN1E,11/11/2020,14:06,,60,Ruta 9,R01,IMPAGA
195,57 777 70,03/07/2021,09:10 AM,,60,av libertador,,ERROR
196,WU 341 A,2021-04-22,14:06,,40,ruta 9,R01,ERROR
197,DK 414 N,2020/05/03,invalid_hour,69.0,40,Av Siempre Viva,,APELADA
198,BHRP 770,invalid_date,09:10 AM,,60,Av. Libertador,R01,ERROR
199,99 998 68,invalid_date,08:08,,40,Ruta 9,R03,ERROR
200,57 777 70,13/09/2022,14:06,85.0,60,ruta 9,R02,PAGADA
201,DK 414 N,2023/08/08,08:08,,80,Av. Siempre Viva,R03,PAGADA
202,66 111 72,invalid_date,18:09,137.0,60,ruta 9,R03,ERROR
203,990 XYK,invalid_date,08:09,,60,ruta 9,,ERROR
204,66 111 72,18/04/2020,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA
205,MX60 NZA,18/02/2020,invalid_hour,,40,Av Siempre Viva,R03,IMPAGA
206,99 998 68,invalid_date,09:11 AM,,60,Av Siempre Viva,,IMPAGA
207,OUTSTDN,invalid_date,14:07,159.0,80,Av Siempre Viva,R02,PAGADA
208,VNK296 GP,invalid_date,09:11 AM,79.0,60,Av. Libertador,R02,ERROR
209,GN64 OTP,invalid_date,18:09,97.0,60,Ruta 9,,IMPAGA
210,HF 3461,21/01/2023,invalid_hour,,80,Ruta 9,R03,APELADA
211,29 999 61,2022/06/06,invalid_hour,97.0,80,Ruta 9,R03,PAGADA
212,66 111 72,2020/02/12,14:07,,60,ruta 9,R03,APELADA
213,CD 056 01,invalid_date,08:09,50.0,60,Av. Libertador,,PAGADA
214,0695 DVH,2023-03-30,18:09,61.0,60,AV LIBERTADOR,R03,APELADA
215,99 998 68,16/11/2021,18:09,71.0,80,Av Siempre Viva,R03,PAGADA
216,M43 1ZW,2022/03/07,09:11 AM,109.0,60,ruta 9,R03,APELADA
217,B 81 JKY,2022/08/02,invalid_hour,92.0,40,ruta 9,R03,APELADA
218,57 777 70,invalid_date,invalid_hour,129.0,60,AV LIBERTADOR,R02,APELADA
219,DI2 LOT,invalid_date,invalid_hour,,40,Ruta 9,,APELADA
220,B 81 JKY,invalid_date,invalid_hour,,60,av libertador,R01,IMPAGA
221,RFH 373,2021-11-24,09:11 AM,156.0,80,Av Siempre Viva,R02,APELADA
222,X IIUME,2023-06-25,18:10,83.0,60,Av. Siempre Viva,R03,ERROR
223,TL03 GOG,2022-04-30,09:11 AM,,60,ruta 9,R01,ERROR
224,HK 06 YMX,2022/05/05,08:09,,40,av libertador,R03,PAGADA
225,HK 06 YMX,invalid_date,invalid_hour,,80,ruta 9,R02,ERROR
226,990 XYK,03/10/2022,08:09,,40,av libertador,R02,APELADA
227,CD 056 01,invalid_date,14:07,109.0,80,Av. Libertador,,IMPAGA
228,CT5 B876,invalid_date,18:10,141.0,80,Ruta 9,R02,APELADA
229,8B90638,2022-06-16,18:10,104.0,60,Av. Libertador,R01,PAGADA
230,NTHG LFT,invalid_date,18:10,,40,Av Siempre Viva,R02,PAGADA
231,AI7 OVF,2021-04-05,14:07,108.0,60,av libertador,R03,APELADA
232,DI2 LOT,invalid_date,invalid_hour,55.0,60,Av. Siempre Viva,,IMPAGA
233,N HZ 1002,invalid_date,18:10,108.0,40,Av. Siempre Viva,R01,APELADA
234,691 XC 80,2022/08/16,invalid_hour,83.0,80,av libertador,R02,PAGADA
235,GN64 OTP,2020/07/31,18:11,,60,Ruta 9,R01,IMPAGA
236,831 MDB,2020/09/05,08:09,70.0,60,Ruta 9,R03,PAGADA
237,GN64 OTP,invalid_date,18:11,,60,Av. Libertador,R03,APELADA
238,81-ZF-JD,2021/09/11,08:10,,80,Av. Siempre Viva,R01,ERROR
239,PIW 4215,2020/08/28,14:07,,80,ruta 9,,PAGADA
240,W326 AVE,2020-07-31,08:10,100.0,80,Av. Siempre Viva,R01,APELADA
241,CT5 B876,2022/06/04,18:11,65.0,40,ruta 9,R03,ERROR
242,FD 1475,23/12/2023,14:08,,60,Av. Libertador,R03,ERROR
243,N HZ 1002,15/03/2021,invalid_hour,116.0,40,av libertador,R02,IMPAGA
244,3646 HBH,2020-03-10,14:08,,40,av libertador,R02,PAGADA
245,6EVY261,2020-11-04,14:08,,60,AV LIBERTADOR,,IMPAGA
246,FD 1475,22/09/2023,invalid_hour,,60,Av Siempre Viva,R01,APELADA
247,GN64 OTP,2022/01/18,18:11,141.0,80,Ruta 9,R02,APELADA
248,VY 90 540,30/08/2020,18:11,123.0,60,AV LIBERTADOR,,ERROR
249,66 111 72,2020/04/13,08:10,78.0,60,av libertador,R02,APELADA
250,T0Y DR,13/02/2021,18:12,37.0,40,AV LIBERTADOR,R01,IMPAGA
251,57 777 70,2021/08/23,18:12,,80,ruta 9,,ERROR
252,W326 AVE,07/12/2021,08:10,,40,Ruta 9,R02,IMPAGA
253,FD 1475,26/08/2021,14:08,,80,Av. Siempre Viva,,ERROR
254,6EVY261,invalid_date,09:12 AM,,40,ruta 9,R02,IMPAGA
255,CD 056 01,invalid_date,09:12 AM,,40,ruta 9,,ERROR
256,X IIUME,30/04/2020,invalid_hour,125.0,80,Av. Siempre Viva,R03,ERROR
257,BM -351,2023-03-31,14:08,78.0,40,Av. Siempre Viva,R02,ERROR
258,,2021-07-31,18:12,104.0,80,Av Siempre Viva,,APELADA
259,HAMSTUR,2021/09/30,14:09,141.0,80,Av Siempre Viva,R03,PAGADA
260,T0Y DR,2023/09/10,09:12 AM,,80,Ruta 9,R01,ERROR
261,990 XYK,2023-11-02,14:09,,60,AV LIBERTADOR,,IMPAGA
262,BHRP 770,2020-03-29,invalid_hour,94.0,60,AV LIBERTADOR,R01,ERROR
263,990 XYK,2020/11/03,18:12,98.0,60,Av. Siempre Viva,R02,PAGADA
264,CD 056 01,2023-09-11,invalid_hour,,80,Ruta 9,R03,PAGADA
265,CT5 B876,invalid_date,08:10,,40,Ruta 9,R02,APELADA
266,N HZ 1002,invalid_date,18:12,,40,AV LIBERTADOR,R01,APELADA
267,HF 58 HXP,2022-09-10,18:13,,40,ruta 9,,ERROR
268,GLEN1E,2023-09-03,14:09,68.0,60,AV LIBERTADOR,,APELADA
269,DK 414 N,23/08/2021,08:11,,40,Ruta 9,R03,PAGADA
270,HF 3461,invalid_date,14:09,,60,Av. Siempre Viva,R01,ERROR
271,691 XC 80,05/10/2021,18:13,,80,Av Siempre Viva,R01,APELADA
272,GCP332,2022/10/27,18:13,,40,av libertador,R01,IMPAGA
273,99 998 68,2020-11-27,invalid_hour,38.0,40,AV LIBERTADOR,R02,APELADA
274,VTII AHV,2020-01-17,08:11,,60,av libertador,R03,APELADA
275,WE FLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA
276,M43 1ZW,2022/08/21,14:10,,60,Av. Siempre Viva,,IMPAGA
277,BB 8986,2023/08/14,08:11,,40,AV LIBERTADOR,,ERROR
278,J1S1,2023/05/22,08:11,,40,Av. Libertador,R03,PAGADA
279,CBM UK,2023-09-05,invalid_hour,,80,ruta 9,,IMPAGA
280,TL03 GOG,2023/10/10,invalid_hour,,40,ruta 9,,APELADA
281,BB 8986,invalid_date,09:12 AM,,60,Av Siempre Viva,R03,APELADA
282,J1S1,2020/10/07,18:13,,80,Ruta 9,R03,APELADA
283,MX60 NZA,2020/09/14,09:12 AM,,80,Av Siempre Viva,R02,APELADA
284,589222,13/08/2020,14:10,,60,AV LIBERTADOR,,PAGADA
285,41 RS TZ,2022/02/03,14:10,153.0,80,AV LIBERTADOR,R02,ERROR
286,M VU 4688,2023/02/02,09:13 AM,,40,av libertador,,ERROR
287,UW3932,2020/07/18,18:13,34.0,40,Ruta 9,,ERROR
288,GCP332,31/05/2023,08:11,91.0,80,ruta 9,,IMPAGA
289,0695 DVH,invalid_date,18:14,,80,Av. Siempre Viva,R01,IMPAGA
290,GE 1466,2022-03-18,09:13 AM,,60,Ruta 9,R03,ERROR
291,AWS 167,2020-01-23,invalid_hour,,40,AV LIBERTADOR,R01,PAGADA
292,UW3932,31/05/2023,09:13 AM,,80,Av. Siempre Viva,,APELADA
293,GCP332,2021/05/10,invalid_hour,,60,Av. Libertador,R03,PAGADA
294,810 TCH,2023-11-09,18:14,82.0,40,Ruta 9,R03,IMPAGA
295,AI7 OVF,2020-09-13,invalid_hour,,40,AV LIBERTADOR,,APELADA
296,CT5 B876,2021-05-10,invalid_hour,,80,Av Siempre Viva,R01,PAGADA
297,GOOGLE,2022-07-22,invalid_hour,88.0,60,Av. Siempre Viva,R03,APELADA
298,VY 90 540,2021/09/18,invalid_hour,99.0,80,ruta 9,R01,ERROR
299,OUTSTDN,invalid_date,invalid_hour,,40,ruta 9,,APELADA
300,N HZ 1002,26/08/2022,invalid_hour,,60,ruta 9,R01,IMPAGA
301,J1S1,invalid_date,09:13 AM,121.0,80,Av. Siempre Viva,,PAGADA
302,GN64 OTP,08/11/2021,18:14,157.0,80,Ruta 9,R03,ERROR
303,CBM UK,invalid_date,14:10,99.0,60,av libertador,R01,APELADA
304,NTHG LFT,2023-04-11,invalid_hour,61.0,60,Av. Siempre Viva,R03,APELADA
305,YLO8 WUE,2021/07/16,08:12,,40,AV LIBERTADOR,R02,APELADA
306,X IIUME,26/07/2023,08:12,133.0,80,Av. Siempre Viva,R02,IMPAGA
307,409,06/01/2023,18:14,96.0,40,Ruta 9,R01,PAGADA
308,FD 1475,2022-09-13,08:12,153.0,80,Ruta 9,,ERROR
309,VTII AHV,2022/07/03,14:10,124.0,60,Ruta 9,R02,ERROR
310,NTHG LFT,invalid_date,08:12,,80,Av Siempre Viva,R02,IMPAGA
311,CBM UK,02/04/2023,09:13 AM,120.0,40,ruta 9,R01,PAGADA
312,,invalid_date,09:14 AM,50.0,40,av libertador,R01,ERROR
313,GE 1466,invalid_date,09:14 AM,,60,Av. Libertador,R03,IMPAGA
314,3646 HBH,2023-12-28,18:14,,80,Av. Libertador,,APELADA
315,M PX 9357,2020-02-10,09:14 AM,104.0,60,AV LIBERTADOR,R03,IMPAGA
316,GOOGLE,2020-01-20,18:15,,60,ruta 9,R01,IMPAGA
317,GN64 OTP,invalid_date,18:15,88.0,80,ruta 9,R01,IMPAGA
318,CT5 B876,2020-04-05,18:15,,60,Av. Libertador,R03,APELADA
319,WU 341 A,invalid_date,09:14 AM,73.0,40,av libertador,R02,IMPAGA
320,OUTSTDN,18/12/2020,08:12,120.0,60,Ruta 9,,ERROR
321,691 XC 80,invalid_date,invalid_hour,,60,Av Siempre Viva,R03,ERROR
322,UW3932,12/07/2021,08:13,100.0,80,Av Siempre Viva,R02,ERROR
323,57 777 70,2020-05-05,08:13,,40,Av. Siempre Viva,R02,PAGADA
324,HAMSTUR,invalid_date,09:14 AM,96.0,80,Av. Libertador,R03,PAGADA
325,99 998 68,21/12/2022,invalid_hour,159.0,80,ruta 9,R02,ERROR
326,HK 06 YMX,2021/12/11,09:15 AM,,80,ruta 9,,ERROR
327,J1S1,2020/02/28,invalid_hour,93.0,40,Av. Libertador,R01,ERROR
328,GN64 OTP,invalid_date,14:11,156.0,80,Av Siempre Viva,R02,PAGADA
329,UM 96 201,2021-11-17,18:15,133.0,60,ruta 9,R03,APELADA
330,FVIO UHP,2022-06-30,08:13,61.0,60,Ruta 9,R03,PAGADA
331,990 XYK,18/06/2023,09:15 AM,38.0,40,Av. Siempre Viva,,IMPAGA
332,HK 06 YMX,09/10/2023,invalid_hour,151.0,80,Av Siempre Viva,,PAGADA
333,66 111 72,2023-11-16,09:15 AM,,80,Av Siempre Viva,R02,ERROR
